State,Abbreviation,state_code,Unemployment Rate Jan 2020,Unemployment Rate Feb 2020,Unemployment Rate Mar 2020,Unemployment Rate Apr 2020,Unemployment Rate May 2020,Unemployment Rate Jun 2020,Unemployment Rate Jul 2020,Unemployment Rate Aug 2020,Unemployment Rate Sept 2020,Unemployment Rate Oct 2020,Unemployment Rate Nov 2020,Unemployment Rate Dec 2020,White,Black,Hispanic,Asian,American Indian/Alaska Native,Native Hawaiian/Other Pacific Islander,Multiple Races
Rhode Island,R.I.,RI,3.4,3.4,4.7,18.1,16.4,12.6,11.3,12.9,10.5,7.1,7.3,8.1,0.705,0.059,0.166,0.033,0.002,N/A,0.033
South Carolina,S.C.,SC,2.4,2.5,3.2,12.8,12.4,8.7,8.7,6.4,5.2,4.2,4.4,4.6,0.637,0.262,0.057,0.017,0.003,N/A,0.022
South Dakota,S.D.,SD,3.4,3.3,3.1,10.9,9.4,7.2,6.4,4.8,4.1,3.7,3.5,3,0.819,0.022,0.037,0.013,0.084,N/A,0.024
Tennessee,Tenn.,TN,3.3,3.4,3.3,15.5,11,9.6,9.7,8.6,6.5,7.3,5.2,6.4,0.736,0.164,0.057,0.018,0.003,N/A,0.022
Texas,Tex.,TX,3.5,3.5,5.1,13.5,13,8.4,8,6.8,8.3,6.9,8.1,7.2,0.411,0.117,0.4,0.05,0.003,0.001,0.019
Utah,Utah,UT,2.5,2.5,3.8,10.4,8.6,5.3,4.5,4.1,5,4.1,4.3,3.6,0.778,0.01,0.144,0.023,0.01,0.008,0.027
Vermont,Vt.,VT,2.4,2.4,3.1,16.5,12.8,9.5,8.3,4.8,4.3,3.2,3,3.1,0.928,0.011,0.018,0.016,0.007,N/A,0.02
Virginia,Va.,VA,2.7,2.6,3.3,11.2,9,8.1,7.9,6.1,6.2,5.2,4.8,4.9,0.613,0.189,0.096,0.067,0.002,<.01,0.033
Washington,Wash.,WA,3.9,3.8,5.1,16.3,15.1,10,10.2,8.4,8.3,6,5.7,7.1,0.675,0.038,0.13,0.089,0.011,0.006,0.05
West Virginia,W.Va.,WV,5,4.9,6,15.9,12.9,10.5,10,8.9,8.6,6.4,6.3,6.3,0.925,0.032,0.014,0.008,0.002,N/A,0.018
Wisconsin,Wis.,WI,3.5,3.5,3.1,13.6,12.1,8.6,7.1,6.3,5.4,6,5.3,5.5,0.811,0.062,0.071,0.03,0.007,N/A,0.02
Wyoming,Wyo.,WY,3.7,3.7,3.8,9.6,8.8,7.6,7.1,6.6,6.1,5.5,5.1,4.8,0.838,0.01,0.101,0.006,0.022,N/A,0.021
