state_code,federal_family_first_act_date,cumulative_cases_at_federal_family_first_act,cumulative_deaths_at_federal_family_first_act,new_cases_since_week_before_federal_family_first_act,new_death_since_week_before_federal_family_first_act,weekly_avg_change_in_avg_distance_after_federal_family_first_act,weekly_avg_change_in_visitation_after_federal_family_first_act,weekly_avg_encounter_after_federal_family_first_act,federal_family_first_act_date,cumulative_cases_at_federal_family_first_act,cumulative_deaths_at_federal_family_first_act,new_cases_since_week_before_federal_family_first_act,new_death_since_week_before_federal_family_first_act,weekly_avg_change_in_avg_distance_after_federal_family_first_act,weekly_avg_change_in_visitation_after_federal_family_first_act,weekly_avg_encounter_after_federal_family_first_act,federal_family_first_act_date,cumulative_cases_at_federal_family_first_act,cumulative_deaths_at_federal_family_first_act,new_cases_since_week_before_federal_family_first_act,new_death_since_week_before_federal_family_first_act,weekly_avg_change_in_avg_distance_after_federal_family_first_act,weekly_avg_change_in_visitation_after_federal_family_first_act,weekly_avg_encounter_after_federal_family_first_act,federal_family_first_act_date,cumulative_cases_at_federal_family_first_act,cumulative_deaths_at_federal_family_first_act,new_cases_since_week_before_federal_family_first_act,new_death_since_week_before_federal_family_first_act,weekly_avg_change_in_avg_distance_after_federal_family_first_act,weekly_avg_change_in_visitation_after_federal_family_first_act,weekly_avg_encounter_after_federal_family_first_act
OH,20200318,90,0,86,0,-0.3148455083165033,-0.5719078553321749,-0.2889356168012278,20200309,3,0,3,0,-0.12742475234633924,-0.18885134035615786,0.7596687787552501,20200324,564,8,497,8,-0.3844254970397518,-0.5835248925859761,-0.4018983637858597,20200324,564,8,497,8,-0.3844254970397518,-0.5835248925859761,-0.4018983637858597
OK,20200318,29,0,27,0,-0.2198838882775282,-0.4878736833248774,-0.7588420183172676,20200402,879,34,631,27,-0.3303170923165939,-0.5569235600146833,-0.8126472310896521,20200401,719,30,555,25,-0.3308845532271696,-0.5528075352372421,-0.8128782117575258,nan,nan,nan,nan,nan,nan,nan,nan
OR,20200318,74,3,54,3,-0.25160937386416565,-0.5572132517347571,-0.9352404196480596,20200308,13,0,11,0,-0.13045196491493186,-0.13797072513333314,-0.8347182077772531,nan,nan,nan,nan,nan,nan,nan,nan,20200323,191,5,145,4,-0.34452483242055487,-0.6087750404299125,-0.9460371397987037
PA,20200318,139,1,123,1,-0.3639741992447652,-0.6426888786666877,-0.5746241223225391,20200306,2,0,2,0,-0.052293945339127075,-0.07735588428845633,0.6490917531072099,20200323,644,6,563,6,-0.4201402883977931,-0.6471361021826798,-0.6100278696957234,20200401,5805,74,4654,63,-0.44559747956597845,-0.6637578869145917,-0.7291619270974765
RI,20200318,33,0,28,0,-0.39860319142833894,-0.6088495268904902,0.11988180995813154,20200309,3,0,1,0,-0.15961754827019264,-0.23963819995985,2.0159948918265993,nan,nan,nan,nan,nan,nan,nan,nan,20200328,239,2,173,2,-0.487591825226524,-0.6415305366419223,-0.36009397986566133
SC,20200318,60,1,50,1,-0.2449397493999669,-0.5065453709118373,-0.42694899288159427,20200313,13,0,11,0,-0.10871433561580801,-0.2740523491520602,0.04406376729752769,nan,nan,nan,nan,nan,nan,nan,nan,20200407,2417,51,1334,29,-0.38071334672286655,-0.5822777325478096,-0.5253495720584928
SD,20200318,11,1,3,0,-0.2971425698780177,-0.4973048069095075,-0.9779150026636426,20200402,165,2,119,1,-0.37415644667749826,-0.5761235846932352,-0.9851773808764018,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
TN,20200318,98,0,90,0,-0.23677689462564847,-0.5197775682044694,-0.43307776388603975,20200312,18,0,17,0,-0.08597914051774043,-0.2324128137622676,0.18441887013092279,20200401,2689,23,1883,20,-0.36038533747201107,-0.5658048134105584,-0.5457234241712176,20200402,2868,32,1887,29,-0.3649382267555864,-0.5700283769019638,-0.547037877046196
TX,20200318,166,2,133,2,-0.2940749973551478,-0.5388637552124196,-0.5518324127829427,20200313,58,0,39,0,-0.14440126424619118,-0.32622241040418876,-0.2748067012279863,nan,nan,nan,nan,nan,nan,nan,nan,20200402,4880,79,3338,58,-0.4170300614586053,-0.6359574613192517,-0.7181559478199476
UT,20200318,65,0,60,0,-0.30229117514535087,-0.5184281441724409,-0.9184068254534262,20200306,3,0,2,0,-0.06397140147945987,-0.05380958438743871,-0.7801700513110049,nan,nan,nan,nan,nan,nan,nan,nan,20200327,480,2,368,2,-0.360637219419589,-0.5228427054248633,-0.9379686016666229
VA,20200318,78,2,68,2,-0.32681598897973757,-0.5206153786901868,-0.5499227033238857,20200312,17,0,17,0,-0.1821851625374388,-0.26391192603040176,-0.21357763483690356,nan,nan,nan,nan,nan,nan,nan,nan,20200330,1020,26,766,20,-0.4227654347242535,-0.571724788620547,-0.6964744140602465
VT,20200318,19,0,17,0,-0.4530317251577034,-0.5756670893164815,-0.9534492263139577,20200313,2,0,2,0,-0.30510494174839886,-0.3884317917753804,-0.9237716748952051,20200325,123,8,104,8,-0.5294530214763498,-0.6290152482997279,-0.9675876941772916,20200324,95,7,81,7,-0.5195599929028416,-0.6247860571554238,-0.9631876235475437
WA,20200318,1026,68,688,39,-0.3393414286902664,-0.5647389435151987,-0.8290642514421267,20200229,10,1,9,1,-0.05823939997175983,-0.0448707533202923,-0.41313961203349203,20200325,2585,130,1559,62,-0.4538616393900345,-0.6138341553910714,-0.878698502458262,20200323,2101,110,1307,62,-0.43460137456682224,-0.6160338866251241,-0.8580496051066805
WI,20200318,106,0,100,0,-0.30922503116537864,-0.6059816717364024,-0.8417389081582548,20200312,8,0,7,0,-0.16878397691561725,-0.31980559818889087,-0.7028884850379725,20200325,623,7,517,7,-0.3887564564482555,-0.626355058076474,-0.872658684685251,20200325,623,7,517,7,-0.3887564564482555,-0.626355058076474,-0.872658684685251
WV,20200318,2,0,2,0,-0.26159502901179005,-0.5524496246870431,-0.864906083863683,20200316,0,0,0,0,-0.21114812734495605,-0.46897360673492244,-0.8318323468973634,20200324,39,0,38,0,-0.31946954892746465,-0.5581799543209988,-0.8859034767410817,20200324,39,0,38,0,-0.31946954892746465,-0.5581799543209988,-0.8859034767410817
WY,20200318,17,0,16,0,-0.11672582861464915,-0.5130599606737724,-0.9905673575632795,20200313,2,0,2,0,-0.10328709930644613,-0.3245087038183165,-0.9872127868827322,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
