state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result
ME,2020-03-07,0,0,0,0,-11,-8,-18,-25,-0.05250507149182048,0.055439269214303484,-0.8390683248060563,Education and Health Services,130.2,No,No,Yes,3.1,3.3,56277,AllD,5,D
MI,2020-03-07,0,0,0,0,-11,-25,-16,-17,4.212031030765279e-05,0.05056900764769974,0.5298652534852712,Trade Transportation and Utilities,805.6,No,No,Yes,3.8,3.1,54909,MostD,4,R
MN,2020-03-07,1,0,1,0,-11,-6,nan,-21,-0.01700071930493197,0.019713663145816497,-0.2758358814255509,Education and Health Services,549.1,No,No,No,3.2,5.4,68388,AllD,5,D
MO,2020-03-07,1,0,1,0,-11,-6,nan,-30,0.032417396649897894,0.022206694961638414,0.3902601645112853,Trade Transportation and Utilities,543.1,No,No,No,3.5,3.5,53578,AllR,1,R
MS,2020-03-07,0,0,0,0,-11,-7,-27,-27,0.04174934397172297,-0.01918079521460253,0.1094374088200556,Government,243.7,No,No,No,5.5,3.5,43529,AllR,1,R
MT,2020-03-07,0,0,0,0,-11,-5,-21,-21,-0.10863762722694316,0.03852854604531696,-0.9724694091311452,Trade Transportation and Utilities,96,No,No,No,3.5,2.9,53386,AllR,1,R
NC,2020-03-07,2,0,2,0,-11,-3,-23,-23,0.0369355952187037,0.003700701608305583,1.4430992122985289,Trade Transportation and Utilities,851.5,No,No,No,3.6,2.2,52752,MostR,2,R
ND,2020-03-07,0,0,0,0,-11,-6,nan,nan,-0.12367594132479225,0.0392550590543156,-0.8818380684655508,Trade Transportation and Utilities,92.8,No,No,No,2.3,4.2,61843,AllR,1,R
NE,2020-03-07,14,0,1,0,-11,-6,nan,nan,-0.0235902336979808,-0.028464281646187962,-0.6469860696587246,Trade Transportation and Utilities,198.6,No,No,No,3.9,3.6,59970,AllR,1,R
NH,2020-03-07,4,0,4,0,-11,-6,-21,-21,-0.08924404536675774,0.048977792701275794,-0.06657370925472528,Trade Transportation and Utilities,138.5,No,No,No,2.6,3.8,73381,AllD,5,D
NJ,2020-03-07,4,0,4,0,-11,-2,-14,-14,-0.00958693741272497,0.0320040975951481,10.787598555069016,Trade Transportation and Utilities,893.7,Yes,Yes,Yes,3.8,4.8,80088,AllD,5,D
NM,2020-03-07,0,0,0,0,-11,-4,-17,-17,0.12086691428970628,0.048635558173945465,-0.915519510807306,Government,189.7,No,No,No,4.8,3.7,46744,MostD,4,D
NV,2020-03-07,2,0,2,0,-11,-5,nan,-24,0.0007214426602274003,-0.022359102938820576,-0.4530543834312891,Leisure and Hospitality,356.4,No,No,Yes,3.6,3.6,58003,MostD,4,D
NY,2020-03-07,89,0,89,0,-11,0,-15,-15,-0.036286889954745466,0.036798777136285474,3.4926992523576983,Government,"1,488.10",Yes,Yes,Yes,3.8,3.6,64894,AllD,5,D
OH,2020-03-07,0,0,0,0,-11,-2,-17,-17,0.023099366287046463,0.04207525872749839,2.295620152891449,Trade Transportation and Utilities,"1,028.40",No,No,No,4.1,3.2,54021,Tie,3,R
OK,2020-03-07,1,0,1,0,-11,-26,-25,nan,0.024205666872747736,0.02942753001045253,0.1300171238317014,Government,356.6,No,No,No,3.3,3.3,50051,AllR,1,R
OR,2020-03-07,6,0,5,0,-11,-1,nan,-16,-0.02402237346082446,0.034927789886608517,-0.7513884078902424,Trade Transportation and Utilities,359.3,Yes,Yes,Yes,3.3,4.7,60212,AllD,5,D
PA,2020-03-07,4,0,4,0,-11,1,-16,-25,0.015085630489352637,0.0126446647888696,1.1334905600440996,Education and Health Services,1307,No,No,No,4.7,3.4,59195,MostD,4,R
RI,2020-03-07,3,0,3,0,-11,-2,nan,-21,-0.02135671897503281,-0.03434801760641424,4.1536640394117805,Education and Health Services,110.7,Yes,Yes,Yes,3.1,2.5,19343,AllD,5,D
SC,2020-03-07,2,0,2,0,-11,-6,nan,-31,0.02809020204404977,0.013102439323731384,1.6423301816405478,Trade Transportation and Utilities,410.6,No,No,No,2.4,3.3,63870,AllR,1,R
SD,2020-03-07,0,0,0,0,-11,-26,nan,nan,-0.022926711862490328,-0.013614323236278866,-0.8876206473831195,Trade Transportation and Utilities,86.3,No,No,No,3.4,3.4,50570,AllR,1,R
TN,2020-03-07,1,0,1,0,-11,-5,-25,-26,0.04200272614668015,0.014934684588439091,2.453703573854472,Trade Transportation and Utilities,653.1,No,No,No,3.3,3.5,56521,AllR,1,R
TX,2020-03-07,19,0,8,0,-11,-6,nan,-26,0.07927175337429264,-0.014910932475984425,0.8820869362965229,Trade Transportation and Utilities,"2,549.20",No,No,No,4.5,2.5,51340,AllR,1,R
UT,2020-03-07,3,0,2,0,-11,1,nan,-20,-0.014167121316117191,0.00462277681874875,-0.7189270417669607,Trade Transportation and Utilities,295.2,No,No,No,2.5,3.4,59206,AllR,1,R
VA,2020-03-07,1,0,1,0,-11,-5,nan,-23,0.017577626952171927,0.007800820306053686,0.7850422218452066,Professional and Business Services,779.6,No,No,No,2.7,3.8,57513,MostD,4,D
VT,2020-03-07,1,0,1,0,-11,-6,-18,-17,-0.05726106260816015,0.013730533950223096,-0.6954257916681859,Education and Health Services,65.4,No,Yes,Yes,2.4,2.6,68358,AllD,5,D
WA,2020-03-07,110,16,100,15,-11,7,-18,-16,-0.09049530690703356,-0.02836507498864532,-0.4376846966722201,Trade Transportation and Utilities,654.7,Yes,Yes,Yes,3.9,4.9,71535,AllD,5,D
WI,2020-03-07,1,0,0,0,-11,-5,-18,-18,0.008050334745834593,0.05158478663675533,-0.2427726446284695,Manufacturing,484.2,No,No,No,3.5,2.7,43469,MostD,4,R
WV,2020-03-07,0,0,0,0,-11,-9,-17,-17,-0.0007229612938620749,0.025971822184187643,-0.3755646022142681,Government,152.1,No,No,No,5.0,3.7,70979,AlllR,1,R
WY,2020-03-07,0,0,0,0,-11,-6,nan,nan,-0.03957329561599568,0.03318407452003308,-0.9755127568099272,Trade Transportation and Utilities,532.8,No,No,No,3.7,5.8,59305,AllR,1,R
